Code;Titre;Descriptif;Savoirs;AC;Volume
SAÉ 1.01;Implémentation d’un besoin client;;Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Code de l’application | Traces d’exécution des jeux d’essais | R1.01 | Initiation au développement | R1.02 | Développement d’interfaces web | R1.10 | Anglais;– AC11.01 | Implémenter des conceptions simples | – AC11.02 | Élaborer des conceptions simples | – AC11.03 | Faire des essais et évaluer leurs résultats en regard des spécifications;à définir localement par chaque IUT
SAÉ 1.02;Comparaison d’approches algorithmiques;;Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | Code de l’application | Présentation du problème et de la comparaison des différentes approches | R1.01 | Initiation au développement | R1.03 | Introduction à l’architecture des ordinateurs | R1.06 | Mathématiques discrètes | R1.07 | Outils mathématiques fondamentaux;– AC12.01 | Analyser un problème avec méthode (découpage en éléments algorithmiques simples, structure de don- | – AC12.02 | Comparer des algorithmes pour des problèmes classiques (tris simples, recherche...) | – AC12.03 | Formaliser et mettre en œuvre des outils mathématiques pour l’informatique;à définir localement par chaque IUT
SAÉ 1.03;Installation d’un poste pour le développement;;Installer, configurer, mettre à disposition, maintenir en conditions opérationnelles des infrastructures, des services et des | Dossier d’étude et de choix des solutions | Notice d’utilisation | Présentation orale | Schéma de l’architecture logicielle | R1.03 | Introduction à l’architecture des ordinateurs | R1.04 | Introduction aux systèmes d’exploitation et à leur fonctionnement | R1.10 | Anglais | R1.11 | Bases de la communication;– AC13.01 | Identifier les différents composants (matériels et logiciels) d’un système numérique | – AC13.02 | Utiliser les fonctionnalités de base d’un système multitâches / multiutilisateurs | – AC13.03 | Installer et configurer un système d’exploitation et des outils de développement;à définir localement par chaque IUT
SAÉ 1.04;Création d’une base de données;;Concevoir, gérer, administrer et exploiter les données de l’entreprise et mettre à disposition toutes les informations pour | Jeu de données | Modèle de données | Rapport sur l’importance de ces données en entreprise | Script création base de données | R1.05 | Introduction aux bases de données et SQL | R1.06 | Mathématiques discrètes | R1.09 | Introduction à l’économie durable et numérique;– AC14.01 | Mettre à jour et interroger une base de données relationnelle (en requêtes directes ou à travers une applica- | – AC14.03 | Concevoir une base de données relationnelle à partir d’un cahier des charges;à définir localement par chaque IUT
SAÉ 1.05;Recueil de besoins;;Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | Questionnaire destiné au client | Présentation des besoins (maquettes, scénarios, persona...) s’appuyant sur des outils de bureautique | Présentation orale accompagnée de différents supports numériques (site web, poster, affiche, powerpoint...) | R1.02 | Développement d’interfaces web | R1.08 | Introduction à la gestion des organisations | R1.11 | Bases de la communication;– AC15.01 | Appréhender les besoins du client et de l’utilisateur | – AC15.03 | Identifier les acteurs et les différentes phases d’un cycle de développement;à définir localement par chaque IUT
SAÉ 1.06;Découverte de l’environnement économique et écologique;;Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | Rapport présentant le positionnement de l’entreprise | Documents numériques | R1.08 | Introduction à la gestion des organisations | R1.09 | Introduction à l’économie durable et numérique | R1.10 | Anglais | R1.11 | Bases de la communication | Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | Installer, configurer, mettre à disposition, maintenir en conditions opérationnelles des infrastructures, des services et des | Concevoir, gérer, administrer et exploiter les données de l’entreprise et mettre à disposition toutes les informations pour | Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | R1.12 | Projet professionnel et personnel;– AC16.01 | Appréhender l’écosystème numérique | – AC16.04 | Acquérir les compétences interpersonnelles pour travailler en équipe;à définir localement par chaque IUT
R1.01;Initiation au développement;;Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | SAÉ 1.01 | Implémentation d’un besoin client | SAÉ 1.02 | Comparaison d’approches algorithmiques | Algorithmes fondamentaux (structures simples, recherche d’un élément, parcours, tri...) | Algorithmes sur les structures de données (itératifs et/ou récursifs) | Manipulation de listes, tableaux, collections dynamiques, statiques (accès direct ou séquentiels), piles, files, structures | Types abstraits de données simples : première approche de l’encapsulation | Notions de modularité | Premières notions de qualité (par ex. : nommage, assertions, documentation, sûreté de fonctionnement, jeu d’essais, | Lecture/écriture de fichiers | Introduction à la gestion de versions;– AC11.01 | Implémenter des conceptions simples | – AC11.02 | Élaborer des conceptions simples | – AC11.03 | Faire des essais et évaluer leurs résultats en regard des spécifications | – AC12.01 | Analyser un problème avec méthode (découpage en éléments algorithmiques simples, structure de don- | – AC12.02 | Comparer des algorithmes pour des problèmes classiques (tris simples, recherche...);70 heures dont 38 heures de TP
R1.02;Développement d’interfaces web;;Développer — c’est-à-dire concevoir, coder, tester et intégrer — une solution informatique pour un client. | Satisfaire les besoins des utilisateurs au regard de la chaîne de valeur du client, organiser et piloter un projet informatique | Acquérir, développer et exploiter les aptitudes nécessaires pour travailler efficacement dans une équipe informatique | SAÉ 1.01 | Implémentation d’un besoin client | SAÉ 1.05 | Recueil de besoins | Spécifications d’interfaces utilisateur, maquettage (sketch, scénarios, persona...) | Technologies d’affichage du Web (par ex. : HTML, CSS...) | Test de la conformité des sites Web aux standards d’accessibilité W3C / WAI (World Wide Web Consortium / Web | Génération de documents numériques;– AC11.03 | Faire des essais et évaluer leurs résultats en regard des spécifications | – AC11.04 | Développer des interfaces utilisateurs | – AC15.01 | Appréhender les besoins du client et de l’utilisateur | – AC16.01 | Appréhender l’écosystème numérique;16 heures dont 12 heures de TP
R1.03;Introduction à l’architecture des ordinateurs;;Proposer des applications informatiques optimisées en fonction de critères spécifiques : temps d’exécution, précision, | Installer, configurer, mettre à disposition, maintenir en conditions opérationnelles des infrastructures, des services et des | SAÉ 1.02 | Comparaison d’approches algorithmiques | SAÉ 1.03 | Installation d’un poste pour le développement | Architecture générale d’un ordinateur, histoire et évolution de l’informatique | Codage (codage des informations de base : nombres, caractères) | Arithmétique des traitements associés | Étude d’un ordinateur personnel (composants...) | Évolution des technologies et des systèmes | Les différents savoirs de référence pourront être approfondis;– AC12.01 | Analyser un problème avec méthode (découpage en éléments algorithmiques simples, structure de don- | – AC13.01 | Identifier les différents composants (matériels et logiciels) d’un système numérique;16 heures dont 6 heures de TP
R1.04;Introduction aux systèmes d’exploitation et à leur fonctionnement;;Installer, configurer, mettre à disposition, maintenir en conditions opérationnelles des infrastructures, des services et des | SAÉ 1.03 | Installation d’un poste pour le développement | Caractéristiques et types de systèmes d’exploitations | Langage de commande (commandes de base, introduction à la programmation des scripts) | Gestion des processus (création, destruction, suivi...) | Gestion des fichiers (types, droits...) | Gestion des utilisateurs (caractéristiques, création, suppression...) | Principes de l’installation et de la configuration d’un système : notion de noyau, de pilotes, de fichiers de configuration, | Les différents savoirs de référence pourront être approfondis;– AC13.02 | Utiliser les fonctionnalités de base d’un système multitâches / multiutilisateurs | – AC13.03 | Installer et configurer un système d’exploitation et des outils de développement;19 heures dont 14 heures de TP
